PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
28,79,8,1,28079008_1_38,2020,3,12,10.0,V,8.0,V,8.0,V,8.0,V,7.0,V,7.0,V,7.0,V,8.0,V,8.0,V,8.0,V,8.0,V,9.0,V,9.0,V,8.0,V,8.0,V,7.0,V,7.0,V,7.0,V,7.0,V,8.0,V,8.0,V,9.0,V,0,N,0,N
28,79,8,6,28079008_6_48,2020,3,12,1.0,V,0.6,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.6,V,0.5,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.4,V,0.3,V,0.4,V,0.5,V,0.7,V,0.6,V,0.7,V,0,N,0,N
28,79,8,7,28079008_7_8,2020,3,12,120.0,V,54.0,V,29.0,V,9.0,V,4.0,V,4.0,V,7.0,V,42.0,V,77.0,V,72.0,V,50.0,V,36.0,V,18.0,V,19.0,V,22.0,V,17.0,V,12.0,V,10.0,V,16.0,V,31.0,V,30.0,V,33.0,V,0,N,0,N
28,79,8,8,28079008_8_8,2020,3,12,104.0,V,85.0,V,69.0,V,53.0,V,39.0,V,40.0,V,47.0,V,65.0,V,72.0,V,68.0,V,64.0,V,59.0,V,54.0,V,58.0,V,61.0,V,60.0,V,57.0,V,56.0,V,71.0,V,86.0,V,85.0,V,92.0,V,0,N,0,N
28,79,8,9,28079008_9_47,2020,3,12,34.0,V,25.0,V,5.0,V,3.0,V,3.0,V,1.0,V,1.0,V,2.0,V,9.0,V,14.0,V,9.0,V,7.0,V,15.0,V,12.0,V,15.0,V,2.0,V,5.0,V,9.0,V,9.0,V,10.0,V,11.0,V,13.0,V,0,N,0,N
28,79,8,10,28079008_10_47,2020,3,12,62.0,V,45.0,V,22.0,V,15.0,V,11.0,V,8.0,V,6.0,V,13.0,V,25.0,V,33.0,V,26.0,V,21.0,V,27.0,V,25.0,V,31.0,V,17.0,V,18.0,V,20.0,V,23.0,V,38.0,V,63.0,V,49.0,V,0,N,0,N
28,79,8,12,28079008_12_8,2020,3,12,288.0,V,167.0,V,114.0,V,67.0,V,44.0,V,46.0,V,57.0,V,128.0,V,190.0,V,178.0,V,140.0,V,114.0,V,82.0,V,87.0,V,94.0,V,86.0,V,75.0,V,71.0,V,96.0,V,133.0,V,131.0,V,142.0,V,0,N,0,N
28,79,8,14,28079008_14_6,2020,3,12,1.0,V,1.0,V,2.05,V,10.36,V,16.66,V,13.25,V,9.85,V,1.76,V,4.44,V,5.16,V,12.23,V,22.97,V,32.92,V,31.98,V,37.73,V,40.2,V,41.2,V,42.04,V,21.73,V,3.33,V,5.61,V,1.27,V,0,N,0,N
28,79,8,20,28079008_20_59,2020,3,12,17.2,V,10.8,V,7.3,V,5.5,V,4.0,V,3.6,V,3.6,V,3.8,V,4.4,V,5.4,V,5.6,V,4.2,V,3.9,V,3.1,V,4.1,V,3.6,V,3.8,V,4.1,V,5.6,V,6.8,V,7.4,V,6.4,V,0,N,0,N
28,79,8,30,28079008_30_59,2020,3,12,2.5,V,1.4,V,0.9,V,0.7,V,0.6,V,0.6,V,0.6,V,0.7,V,1.3,V,1.3,V,1.1,V,0.9,V,0.7,V,0.6,V,0.7,V,0.8,V,0.7,V,0.6,V,0.8,V,1.2,V,1.5,V,1.2,V,0,N,0,N
28,79,8,35,28079008_35_59,2020,3,12,2.8,V,2.4,V,1.4,V,1.2,V,0.8,V,0.7,V,0.7,V,0.5,V,0.8,V,1.1,V,1.3,V,0.8,V,0.7,V,0.6,V,0.8,V,0.9,V,0.9,V,0.8,V,1.4,V,1.6,V,1.2,V,1.0,V,0,N,0,N
28,79,8,42,28079008_42_2,2020,3,12,2.27,V,1.96,V,1.81,V,1.68,V,1.61,V,1.6,V,1.6,V,1.61,V,1.68,V,1.66,V,1.6,V,1.55,V,1.51,V,1.51,V,1.53,V,1.52,V,1.5,V,1.48,V,1.52,V,1.56,V,1.58,V,1.63,V,0,N,0,N
28,79,8,43,28079008_43_2,2020,3,12,1.9,V,1.73,V,1.65,V,1.56,V,1.52,V,1.52,V,1.52,V,1.52,V,1.55,V,1.52,V,1.48,V,1.45,V,1.42,V,1.41,V,1.43,V,1.4,V,1.4,V,1.39,V,1.4,V,1.41,V,1.43,V,1.46,V,0,N,0,N
28,79,8,44,28079008_44_2,2020,3,12,0.38,V,0.23,V,0.16,V,0.12,V,0.09,V,0.08,V,0.08,V,0.09,V,0.13,V,0.15,V,0.12,V,0.1,V,0.09,V,0.09,V,0.11,V,0.12,V,0.1,V,0.09,V,0.12,V,0.15,V,0.15,V,0.17,V,0,N,0,N
28,79,11,7,28079011_7_8,2020,3,12,81.0,V,13.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,6.0,V,16.0,V,18.0,V,15.0,V,18.0,V,22.0,V,34.0,V,31.0,V,13.0,V,10.0,V,13.0,V,19.0,V,8.0,V,29.0,V,2.0,V,0,N,0,N
28,79,11,8,28079011_8_8,2020,3,12,113.0,V,74.0,V,44.0,V,35.0,V,26.0,V,26.0,V,42.0,V,51.0,V,51.0,V,46.0,V,44.0,V,47.0,V,47.0,V,70.0,V,72.0,V,50.0,V,41.0,V,50.0,V,62.0,V,68.0,V,96.0,V,67.0,V,0,N,0,N
